Name,State/Province,Code Value
Asotin,WA,5401
Benton,WA,5402
Chelan,WA,5403
Clallam,WA,5404
Clark,WA,5405
Columbia,WA,5406
Cowlitz,WA,5407
Douglas,WA,5408
Ferry,WA,5409
Franklin,WA,5410
Garfield,WA,5411
Grant,WA,5412
Grays Harbor,WA,5413
Island,WA,5414
Jefferson,WA,5415
Kitsap,WA,5417
Kittitas,WA,5418
Klickitat,WA,5419
Lewis,WA,5420
Lincoln,WA,5421
Mason,WA,5422
Okanogan,WA,5423
Pacific,WA,5424
Pend Oreille,WA,5425
Pierce,WA,5426
San Juan,WA,5427
Skagit,WA,5428
Skamania,WA,5429
Snohomish,WA,5430
Spokane,WA,5431
Stevens,WA,5432
Thurston,WA,5433
Wahkiakum,WA,5434
Walla Walla,WA,5435
Whatcom,WA,5436
Whitman,WA,5437
Yakima,WA,5438
